iter	Logloss
0	0.6611521137
1	0.6354318144
2	0.6131408367
3	0.5915812087
4	0.5742824947
5	0.5592309469
6	0.5454306571
7	0.5340138696
8	0.5242599251
9	0.5151011771
10	0.5078424884
11	0.5007945488
12	0.4940579655
13	0.4873861176
14	0.4826264795
15	0.4775151386
16	0.472943966
17	0.4687638714
18	0.4651589636
19	0.4618894817
20	0.45939977
21	0.4570500553
22	0.4546558739
23	0.4523202545
24	0.4498863132
25	0.4476588708
26	0.445939523
27	0.4432642844
28	0.4410015473
29	0.439520974
30	0.4380547071
31	0.4365817688
32	0.4350969293
33	0.4328605905
34	0.4318320171
35	0.4309308859
36	0.4301556034
37	0.4292337241
38	0.4283210129
39	0.4270528735
40	0.4262548064
41	0.4255089319
42	0.4245620225
43	0.4236471173
44	0.4229431469
45	0.422210121
46	0.4216643355
47	0.4210509799
48	0.4199408892
49	0.4191447139
