iter	Passed	Remaining
0	62	3074
1	65	1575
2	68	1072
3	71	823
4	74	674
5	77	570
6	81	498
7	84	441
8	86	395
9	89	359
10	92	328
11	95	301
12	98	279
13	101	260
14	104	243
15	107	227
16	110	213
17	112	200
18	115	188
19	118	177
20	121	168
21	124	158
22	127	149
23	130	141
24	132	132
25	135	125
26	138	118
27	141	111
28	144	104
29	148	99
30	151	93
31	154	87
32	157	81
33	160	75
34	163	70
35	166	64
36	169	59
37	172	54
38	175	49
39	177	44
40	180	39
41	183	34
42	186	30
43	189	25
44	192	21
45	194	16
46	196	12
47	201	8
48	204	4
49	207	0
